NO	phoneno	new accountno	new business name	new business type	CAT 1	CAT 2	CAT 3	CAT 4	CAT 5	CAT 6	new suburb	new buss category	new 2021 bill amount	acctual arrears	new outstanding amount	DIVISION	new payment
18	20200000024	AYW14125013001	A M G FERTILIZER	AGRO-CHEMICALS/ FARM INPUTS DEALERS 	2	4	9	9	9	9	DZORWULU	A	1052	1052	1052	14	1052
19	20200000025	AYW13143009005	FLOURISH FIRMS LTD.	AGRO-CHEMICALS/ FARM INPUTS DEALERS 	2	4	12	12	12	12	SHIASHIE	D	210	210.4	210	13	210.4
20	20200000026	AYW14011013001	FUTURE CONNECTION LTD.	AGRO-CHEMICALS/ FARM INPUTS DEALERS 	2	4	12	12	12	12	TESANO	D	210	0	210	14	0
21	20200000027	AYW14132004002	TURKISH AIRLINE	AIRLINE OFFICES/ OPERATORS	30	213	1095	1095	1095	1095	AIRPORT WEST RES. AR	A	4524	0	4524	14	0
22	20200000029	AYW14195001004	SOUTH AFRICAN AIRWAYS PTY LTD.	AIRLINE OFFICES/ OPERATORS	30	213	1096	1096	1096	1096	AIRPORT COMMERCIAL	B	3892	0	3892	14	0
23	20200000030	AYW14140080001	D. A. C. INT. AIRLINE LTD.	AIRLINE OFFICES/ OPERATORS	30	213	1096	1096	1096	1096	AIRPORT WEST	B	3892	3892.4	3892	14	3892.4
24	20200000031	AYW14196005003	AIR  COTE D'IVOIRE	AIRLINE OFFICES/ OPERATORS	30	213	1096	1096	1096	1096	AIRPORT COMMERCIAL	B	3892	0	3892	14	0
25	20200000032	AYW14205008002	AVIATION AIRLINE	AIRLINE OFFICES/ OPERATORS	30	213	1097	1097	1097	1097	ROMAN RIDGE	C	1578	0	1578	14	0
26	20200000033	AYW13074016001	I.D.F. ENTERPRISE	ALUMINIUM FABRICATORS (DOORS/WINDOWS)	3	20	73	73	73	73	0	C	421	0	421	13	0
27	20200000034	AYW13132022001	TOUCH OF BRONZE GH. LTD.	ART GALLERY	3	21	76	76	76	76	EAST LEGON	B	260	0	260	13	0
28	20200000035	AYW13139016003	HART TRENDZ ART GALLERY	ART GALLERY	3	21	76	76	76	76	EAST LEGON	B	260	0	260	13	0
29	20200000036	AYW14089002001	BETTY'S DECORATIONS	ART GALLERY	3	21	76	76	76	76	DZORWULU	B	260	0	260	14	0
30	20200000037	AYW14102007002	NOVICA	ART GALLERY	3	21	76	76	76	76	DZORWULU	B	260	0	260	14	0
31	20200000038	AYW14094014003	NOVICA	ART GALLERY	3	21	76	76	76	76	DZORWULU	B	260	260	260	14	260
32	20200000039	AYW13071006001	AFRICAN MARKET	ART GALLERY	3	21	76	76	76	76	EAST LEGON	B	260	0	260	13	0
33	20200000040	AYW13009009001	AHUDEE	ART GALLERY	3	21	78	78	78	78	TRINITY COLLEGE	D	105	0	105	13	0
34	20200000041	AYW14196004011	SANKOFA ART GALLERY	ART GALLERY	3	21	78	78	78	78	AIRPORT COMMERCIAL	D	105	0	105	14	0
35	20200000042	AYW14145006002	MAJOR BAAH	ARTISANS (SELF EMPLOYED)	3	22	79	79	79	79	DZORWULU	A	105	0	105	14	0
36	20200000043	AYW14160002001	MAJOR BAAH ANNEX	ARTISANS (SELF EMPLOYED)	3	22	79	79	79	79	AIRPORT WEST	A	105	105.2	105	14	105.2
37	20200000045	AYW14077009001	AUTOMALL GHANA LTD.	AUTOBODY REPAIRERS /MECHANICS	3	24	97	97	97	97	AIRPORT WEST	C	1052	1052	1052	14	1052
38	20200000046	AYW140770090	AUTOMALL GHANA LTD.	AUTOBODY REPAIRERS /MECHANICS	3	24	98	98	98	98	ABELENKPE	D	526	0	526	14	0
39	20200000047	AYW14010016001	OLANDO MACHINE SHOP	AUTO ELECTRICIANS	3	24	118	118	118	118	TESANO	A	105	0	105	14	0
40	20200000048	AYW13015014001	KOMMON ENG SERVICE	AUTO SPRAYERS	3	24	117	117	117	117	BAWALESHIE/MPEHUASEM	B	126	0	126	13	0
41	20200000049	AYW14012015002	HALLELUYA SPRAYING SHOP	AUTO SPRAYERS	3	24	117	117	117	117	TESANO	B	126	0	126	14	0
42	20200000050	AYW13027013006	FIVE STAR GROOMING HAIR CUT	BARBERING SHOP	3	26	135	135	135	135	0	A	158	0	158	13	0
43	20200000051	AYW13032022002	TRIM AND CURLES	BARBERING SHOP	3	26	136	136	136	136	0	B	84	0	84	13	0
44	20200000052	AYW13079004001	NATE THE BARBER	BARBERING SHOP	3	26	136	136	136	136	0	B	84	0	84	13	0
45	20200000053	AYW13009008042	COLUMBIA HAIR CUT	BARBERING SHOP	3	26	139	139	139	139	0	E	100	0	100	13	0
46	20200000054	AYW13049025003	XMEN 	BARBERING SHOP	3	26	135	135	135	135	EAST LEGON	A	158	200	158	13	200
47	20200000055	AYW13127002001	TEAPAL BAKERY	BAKERIES	14	117	659	659	659	659	EAST LEGON	B	189	0	189	13	0
48	20200000056	AYW13037024001	TYSONS BAGEL BAKERY	BAKERIES	14	117	659	659	659	659	EAST LEGON	B	189	0	189	13	0
49	20200000057	AYW13059005001	PINK PANDA BAKERY	BAKERIES	14	117	659	659	659	659	AMBASSADORIAL ENCLAV	B	189	0	189	13	0
50	20200000058	AYW14020006001	GRATOS  BAKERY	BAKERIES	14	117	659	659	659	659	ABELENKPE	B	189	0	189	14	0
51	20200000059	AYW14035006001	KOALA BAKERY	BAKERIES	14	117	659	659	659	659	ABELENKPE	B	189	0	189	14	0
52	20200000060	AYW13026052009	BREAD BOUTIQUE	BAKERIES	14	117	659	659	659	659	EAST LEGON	B	189	189.36	189.36	13	189
53	20200000061	AYW13026056001	ULTRA MENSPA	BARBERING SHOP	3	26	135	135	135	135	EAST LEGON	A	158	0	158	13	0
54	20200000062	AYW12073017002	ANDIS (PENTAGON BLK B) GH HOSTEL LTD	BARBERING SHOP	3	26	136	136	136	136	LEGON	B	84	0	84	12 paid	0
55	20200000063	AYW12073018005	CROEP DEM(PENT. BLK C)GH HOSTEL LTD	BARBERING SHOP	3	26	136	136	136	136	LEGON	B	84	0	84	12	0
56	20200000064	AYW13043003001	NESTA PALACE	BARBERING SHOP	3	26	136	136	136	136	EAST LEGON EXTENSION	B	84	0	84	13	0
57	20200000065	AYW13050026005	DE ADRESS EXCLUSIVE HAIR CUT	BARBERING SHOP	3	26	136	136	136	136	EAST LEGON	B	84	0	84	13	0
58	20200000066	AYW13011025006	THE BOARD ROOM	BARBERING SHOP	3	26	136	136	136	136	BAWALESHIE/MPEHUASEM	B	84	0	84	13	0
59	20200000067	AYW13074030003	EAST LEGON CUTZ	BARBERING SHOP	3	26	136	136	136	136	EAST LEGON	B	84	0	84	13	0
60	20200000068	AYW14090015001	APPEARANCE BARBERS	BARBERING SHOP	3	26	136	136	136	136	DZORWULU	B	84	0	84	14	0
61	20200000069	AYW14110025007	PREMIER HAIRCUT & NAILCARE	BARBERING SHOP	3	26	136	136	136	136	DZORWULU	B	84	0	84	14	0
62	20200000070	AYW14009009008	PEARL BANI	BARBERING SHOP	3	26	136	136	136	136	DZORWULU	B	84	0	84	14	0
63	20200000071	AYW13007036001	ROCKY HAIR	BARBERING SHOP	3	26	137	137	137	137	TRINITY COLLEGE	C	63	63.12	62.12	13	64
64	20200000072	AYW13071010001	WALAYE BARBERING CLINIC	BARBERING SHOP	3	26	137	137	137	137	EAST LEGON	C	63	0	63	13	0
65	20200000073	AYW13107011001	MONEY KROSS HAIR KLINIK	BARBERING SHOP	3	26	137	137	137	137	EAST LEGON	C	63	0	63	13	0
66	20200000074	AYW13107010008	MONDAYS STORES	BARBERING SHOP	3	26	137	137	137	137	EAST LEGON	C	63	63.12	66.12	13	60
67	20200000075	AYW13038020008	FADE INN	BARBERING SHOP	3	26	137	137	137	137	EAST LEGON	C	63	0	63	13	0
68	20200000076	AYW13063002002	SALAM OFOLI QUAYE	BARBERING SHOP	3	26	137	137	137	137	EAST LEGON	C	63	0	63	13	0
69	20200000077	AYW14011015004	PAA KWASI BARBERING SHOP	BARBERING SHOP	3	26	137	137	137	137	TESANO	C	63	63.12	63.12	14	63
70	20200000078	AYW14012015004	PAA KWASI BARBERING SHOP	BARBERING SHOP	3	26	137	137	137	137	TESANO	C	63	0	63	14	0
71	20200000079	AYW14019023001	SINTO HAIR CUT SALON	BARBERING SHOP	3	26	137	137	137	137	ABELENKPE	C	63	0	63	14	0
72	20200000080	AYW14040009001	APOLSKA BARBERING CENTRE	BARBERING SHOP	3	26	137	137	137	137	ABELENKPE	C	63	0	63	14	0
73	20200000081	AYW14153011004	DANDY BARBERING SHOP	BARBERING SHOP	3	26	137	137	137	137	AIRPORT WEST	C	63	0	63	14	0
74	20200000082	AYW14153011016	DADA S. K.	BARBERING SHOP	3	26	137	137	137	137	AIRPORT WEST RES. AR	C	63	63.12	63.12	14	63
75	20200000083	AYW14153014010	EXCLUSIVE BARBERING SHOP	BARBERING SHOP	3	26	137	137	137	137	AIRPORT WEST	C	63	0	63	14	0
76	20200000084	AYW14030001001	ZIMBA HAIR CUT	BARBERING SHOP	3	26	137	137	137	137	DZORWULU	C	63	63.12	63.12	14	63
77	20200000085	AYW14042016005	SAMUEL ADU DARKO	BARBERING SHOP	3	26	137	137	137	137	ABELENKPE	C	63	0	63	14	0
78	20200000086	AYW14042016006	BOSSU 1	BARBERING SHOP	3	26	137	137	137	137	ABELENKPE	C	63	63.12	61.12	14	65
79	20200000091	AYW14033013005	WASHINGTON ENT.	BARBERING SHOP	3	26	137	137	137	137	ABELENKPE	C	63	0	63	14	0
80	20200000094	AYW13133002006	TODA BARBERING SALON	BARBERING SHOP	3	26	139	139	139	139	0	D	53	0	53	13	0
81	20200000095	AYW13038022002	SENIOR ENERSTO	BARBERING SHOP	3	26	136	136	136	136	0	B	84	0	84	13	0
82	20200000096	AYW13007023004	CHILL	BARBERING SHOP	3	26	136	136	136	136	0	B	84	0	84	13	0
83	20200000097	AYW13007025014	ROCKY SPECIAL HAIRDO	BARBERING SHOP	3	26	139	139	139	139	0	E	100	0	100	13	0
84	20200000098	AYW13081017002	URBAN SERENITY	HAIR & BEAUTY SERVICE PROVIDERS	3	30	155	155	155	155	0	B	526	0	526	13	0
85	20200000099	AYW13081026001	JIA SPA&BEAUTY SALON	HAIR & BEAUTY SERVICE PROVIDERS	3	30	155	155	155	155	0	B	526	0	526	13	0
86	20200000100	AYW13081017001	COMME CHEZ SOI	HAIR & BEAUTY SERVICE PROVIDERS	3	30	155	155	155	155	0	B	526	0	526	13	0
87	20200000101	AYW13026013001	HAIR RETAIL BEAUTY HOME	HAIR & BEAUTY SERVICE PROVIDERS	3	30	156	156	156	156	0	C	126	0	126	13	0
88	20200000102	AYW13013024002	ALIGIRIA BEAUTY POULOW	HAIR & BEAUTY SERVICE PROVIDERS	3	30	156	156	156	156	0	C	126	0	126	13	0
89	20200000103	AYW14125002006	SPECIAL ICE	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	661	661	661	661	DZORWULU	A	1800	0	1800	14	0
90	20200000104	AYW14097017005	SAY CHEERS	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	661	661	661	661	DZORWULU	B	1500	1800	1500	14	1800
91	20200000105	AYW14177024003	SAY CHEERS	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	661	661	661	661	AIRPORT WEST RES. AR	B	1800	1800	1799.2	14	1800.8
92	20200000106	AYW14180003003	DON EMILIO	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	661	661	661	661	AIRPORT WEST RES. AR	B	1500	0	1500	14	0
93	20200000107	AYW13107003002	DERCLYN ENT.	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	665	665	665	665	EAST LEGON	C	1200	0	1200	13	0
94	20200000108	AYW13037018020	GIGS WATER LAND	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	662	662	662	662	EAST LEGON	C	1200	0	1200	13	0
95	20200000109	AYW13123001015	SPECIAL ICE	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	662	662	662	662	EAST LEGON	C	1200	0	1200	13	0
96	20200000110	AYW14120002003	AFIA SIKA ENT.	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	662	662	662	662	DZORWULU	C	1200	0	1200	14	0
97	20200000111	AYW14120002004	DORIS ANTWI ENT.	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	662	662	662	662	DZORWULU	C	1200	0	1200	14	0
98	20200000112	AYW14011007004	FANTEAKWA	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	662	662	662	662	TESANO	C	1200	0	1200	14	0
99	20200000113	AYW14106017002	FELUZI WINE & LIQUER	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	662	662	662	662	DZORWULU	C	1200	0	1200	14	0
100	20200000115	AYW13110015003	WINE BARREL	BEER/WINE / SPIRITS/SOFT DRINK SALES	14	118	662	662	662	662	0	C	1200	0	1200	13	0
101	20200000116	AYW14001002001	OVERHEAD BLOCK FACTORY	BLOCKS & CONCRETE PRODUCERS/ SALES	7	74	402	402	402	402	TESANO	C	137	0	137	14	0
102	20200000117	AYW14001011002	OTIAB LIMITED	BLOCKS & CONCRETE PRODUCERS/ SALES	7	74	402	402	402	402	TESANO	C	137	0	137	14	0
103	20200000118	AYW14002017006	LIZORI BLOCK FACTORY	BLOCKS & CONCRETE PRODUCERS/ SALES	7	74	402	402	402	402	TESANO	C	137	0	137	14	0
104	20200000119	AYW12091009002	ESCAPE HEALTH	BODY BUILDING GYM	29	212	1057	1057	1057	1057	DZORWULU	B	316	0	316	12	0
105	20200000120	AYW13001002002	E P P BOOKSHOP	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1026	1026	1026	1026	EAST LEGON	D	1500	1500	1500	13	1500
106	20200000121	AYW14158003002	CAN-WEST LIMITED	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1026	1026	1026	1026	AIRPORT WEST	D	1500	1500	1500	14	1500
107	20200000122	AYW13132012002	MAYAN BOOK CENTRE LTD.	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1031	1031	1031	1031	EAST LEGON	I	450	0	450	13	0
108	20200000123	AYW13013032002	METRO BOOKS	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1032	1032	1032	1032	BAWALESHIE/MPEHUASEM	J	160	0	160	13	0
109	20200000124	AYW14005030010	AGOL BOOKS	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1032	1032	1032	1032	TESANO	J	160	0	160	14	0
110	20200000125	AYW14011007013	READ ISLAM BOOKSHOP	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1032	1032	1032	1032	TESANO	J	160	0	160	14	0
111	20200000126	AYW13026005003	SELORM ANAGLI	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1033	1033	1033	1033	EAST LEGON	K	63	0	63	13	0
112	20200000127	AYW13026052008	TO GOD BE THE GLORY	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1033	1033	1033	1033	TRINITY COLLEGE	K	63	0	63	13	0
113	20200000128	AYW14034012001	BESTAGE BOOKSHOP	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1033	1033	1033	1033	ABELENKPE	K	63	0	63	14	0
114	20200000129	AYW14043011001	D'YAA'S ENT.	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1033	1033	1033	1033	ABELENKPE	K	63	0	63	14	0
115	20200000130	AYW14077016002	WORD MIRACLE BOOKSHOP	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1033	1033	1033	1033	S.C.C./PLANTPOOL	K	63	0	63	14	0
116	20200000131	AYW14110025002	FAITH BOOK SHOP	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1033	1033	1033	1033	DZORWULU	K	63	63.12	62.12	14	64
117	20200000135	AYW13013023001	JOAAESO TRADING ENTERPRISE	"BOOKS, STATIONERY, OFFICE EQUIPMENT, COMPUTER & ACCESSORY, ETC. SHOPS"	28	209	1034	1034	1034	1034	0	L	105	0	105	13	0
118	20200000136	AYW13075037001	YYOUVON EXCLUSIVE	BOUTIQUES	12	101	592	592	592	592	BOUNDARY ROAD	A	652	0	652	13	0
119	20200000137	AYW13012019001	C'LUX FASHION	BOUTIQUES	12	101	592	592	592	592	0	A	652	0	652	13	0
120	20200000138	AYW13107015029	ALTANTA UNISEX	BOUTIQUES	12	101	592	592	592	592	0	A	652	0	652	13	0
121	20200000139	AYW13032022003	FLORECENT BOUTIQUE	BOUTIQUES	12	101	592	592	592	592	0	A	652	0	652	13	0
122	20200000140	AYW13009015004	CLECAO	BOUTIQUES	12	101	592	592	592	592	0	A	652	0	652	13	0
123	20200000142	AYW13037101002	THE BABY SHOP 	BOUTIQUES	12	101	593	593	593	593	0	B	400	0	400	13	0
124	20200000143	AYW13136002009	BIGAITY CLOTHING 	BOUTIQUES	12	101	593	593	593	593	0	B	400	0	400	13	0
125	20200000144	AYW13050020006	FASHION TREE	BOUTIQUES	12	101	593	593	593	593	0	B	400	400	400	13	400
126	20200000145	AYW13007036009	BIGIES AVENUE CLOTHING	BOUTIQUES	12	101	593	593	593	593	0	B	400	0	400	13	0
127	20200000146	AYW13076022001	KWAADJO'S COLLECTION	BOUTIQUES	12	101	593	593	593	593	0	B	400	0	400	13	0
128	20200000147	AYW13106016004	PANGOLIN PERFUME BAR	BOUTIQUES	12	101	593	593	593	593	0	B	400	0	400	13	0
129	20200000148	AYW13106007011	MARHBARH BOOKSHOP	BOUTIQUES	12	101	593	593	593	593	0	B	400	0	400	13	0
130	20200000149	AYW13012019002	ZINGA COLLECTION	BOUTIQUES	12	101	593	593	593	593	0	B	400	0	400	13	0
131	20200000150	AYW13012019003	FLASH COLLECTION	BOUTIQUES	12	101	593	593	593	593	0	B	400	400	700	13	100
132	20200000151	AYW13013026014	UNIQUE APPEAL	BOUTIQUES	12	101	593	593	593	593	0	B	400	0	400	13	0
133	20200000152	AYW13139020004	MAGIX BOUTIQUE	BOUTIQUES	12	101	593	593	593	593	LAGOS AVENUE	B	400	400	400	13	400
134	20200000153	AYW13131004002	LE CHATEAN	BOUTIQUES	12	101	593	593	593	593	0	B	400	0	400	13	0
135	20200000154	AYW13049022001	HOUSE OF EMILS	BOUTIQUES	12	101	593	593	593	593	0	B	400	400	700	13	100
136	20200000155	AYW13133004004	HAIRESS FLAIR BOUTIQUE	BOUTIQUES	12	101	593	593	593	593	0	B	400	0	400	13	0
137	20200000156	AYW13063003002	SHADES	BOUTIQUES	12	101	593	593	593	593	GARDEN STREET	B	400	0	400	13	0
138	20200000157	AYW13056028009	KADIZ KIDS	BOUTIQUES	12	101	593	593	593	593	0	B	400	0	400	13	0
139	20200000160	AYW13074004005	SPROG STORE	BOUTIQUES	12	101	594	594	594	594	GARDEN STREET	C	295	0	295	13	0
140	20200000161	AYW13051011007	LIS STEP	BOUTIQUES	12	101	594	594	594	594	0	C	295	0	295	13	0
141	20200000162	AYW13038024002	FROM HEALTH SECRET	BOUTIQUES	12	101	595	595	595	595	0	C	295	0	295	13	0
142	20200000163	AYW13107015021	GLITZY KIDS	BOUTIQUES	12	101	595	595	595	595	0	C	295	0	295	13	0
143	20200000164	AYW13013026011	KORKOR STYLES	BOUTIQUES	12	101	595	595	595	595	0	C	295	0	295	13	0
144	20200000166	AYW13010023004	HIGH VISION AFRICAN WEAR	BOUTIQUES	12	101	595	595	595	595	0	C	295	0	295	13	0
145	20200000168	AYW13051008005	HAUTE MUMMY	BOUTIQUES	12	101	594	594	594	594	0	D	295	0	295	13	0
146	20200000169	AYW13051003002	LUXURY CLOSSET	BOUTIQUES	12	101	594	594	594	594	LA BAWALESHIE RD	D	105	0	105	13	0
147	20200000170	AYW13061009009	KIDS BY SIBA	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
148	20200000171	AYW13061008003	TRADITION	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
149	20200000172	AYW13149003001	HELLO KITTY	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
150	20200000173	AYW13012019004	SPROGS KIDS	BOUTIQUES	12	101	594	594	594	594	0	D	295	0	295	13	0
151	20200000174	AYW13107015018	HOUSE OF FAB	BOUTIQUES	12	101	594	594	594	594	LA BAWALESHIE ROAD	D	295	0	295	13	0
152	20200000175	AYW13107015023	RICH HOME ESSENTIALS	BOUTIQUES	12	101	594	594	594	594	0	D	295	0	295	13	0
153	20200000176	AYW13013027001	SOSHEZ FASHION	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
154	20200000177	AYW13013021004	MILLIYQ	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
155	20200000178	AYW13013024001	ANNESI BESOKE BOUTIQUE	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
156	20200000179	AYW13123001018	C0RPORATE AND CASUAL LOOK	BOUTIQUES	12	101	594	594	594	594	EAST LEGON	D	105	295	105	13	295
157	20200000180	AYW13079005002	SHINE TRADE PROJECT	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
158	20200000181	AYW13081003001	ORLIA FASHION	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
159	20200000182	AYW13061011001	VAAGS COLLECTION	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
160	20200000183	AYW13009006005	LIZANNE PARLOUR	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
161	20200000184	AYW13133025004	THE CONSTUMIER	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
162	20200000185	AYW13059005007	ADEYA	BOUTIQUES	12	101	595	595	595	595	0	D	105	0	105	13	0
163	20200000186	AYW13056028004	OBESSION BOUTIQUE	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
164	20200000187	AYW13056024003	RICH BOUTIQUE	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
165	20200000188	AYW13074004001	TRENDY KIDS MOTHERCARE	BOUTIQUES	12	101	594	594	594	594	0	D	105	0	105	13	0
166	20200000192	AYW13051010003	VICTORY VENTURES	BOUTIQUES	12	101	595	595	595	595	0	E	105	0	105	13	0
167	20200000193	AYW13081034001	WALL PAPER CENTRE	PAPER PRODUCT COMPANIES	28	210	1037	1037	1037	1037	0	C	316	0	316	13	0
168	20200000194	AYW13071001026	PREMIUM AFRICAN TEXTILE CO. LTD.	BOUTIQUES	12	101	592	592	592	592	EAST LEGON	A	652	0	652	13	0
169	20200000195	AYW13071001043	BATA(PADUA COLLECTIONS)	BOUTIQUES	12	101	592	592	592	592	EAST LEGON	A	652	652.24	652.04	13	652.2
170	20200000196	AYW13074013004	YVONNE EXCLUSIVE DESIGNS	BOUTIQUES	12	101	592	592	592	592	EAST LEGON	A	652	0	652	13	0
171	20200000197	AYW13108013004	NANVI'S BOUTIQUE	BOUTIQUES	12	101	592	592	592	592	EAST LEGON	A	652	0	652	13	0
172	20200000198	AYW13011025007	MAHALIA	BOUTIQUES	12	101	592	592	592	592	BAWALESHIE/MPEHUASEM	A	652	652.24	904.24	13	400
173	20200000199	AYW13056033006	DECATHLON GHANA	BOUTIQUES	12	101	592	592	592	592	EAST LEGON	A	652	652.24	652	13	652.24
174	20200000200	AYW14121004005	LINARK BOUTIQUE	BOUTIQUES	12	101	592	592	592	592	DZORWULU	A	652	0	652	14	0
175	20200000201	AYW14160003001	NUTMEG	BOUTIQUES	12	101	592	592	592	592	AIRPORT WEST	A	652	652.24	652	14	652.24
176	20200000202	AYW14120001006	AWO'S BOUTIQUE & FABRICS	BOUTIQUES	12	101	592	592	592	592	DZORWULU	A	652	0	652	14	0
177	20200000204	AYW13108012002	DE JOY ENT.	BOUTIQUES	12	101	592	592	592	592	EAST LEGON	A	652	652.24	-483.76	13	1788
178	20200000205	AYW12083001003	SOUQ AFRIQUE	BOUTIQUES	12	101	593	593	593	593	UNIVERSITY O	B	400	0	400	12	0
179	20200000206	AYW13071001016	SECRET DELIGHTS	BOUTIQUES	12	101	593	593	593	593	EAST LEGON	B	400	399.76	399.76	13	400
180	20200000207	AYW13123001004	IVIE COLLECTION	BOUTIQUES	12	101	593	593	593	593	EAST LEGON	B	400	399.76	599.76	13	200
181	20200000208	AYW13092021001	SPEND LOVE	BOUTIQUES	12	101	593	593	593	593	EAST LEGON	B	400	0	400	13	0
