ELECTORA AREA,TOWN,PRIMARY CONTACT,PROPERTY OWNER,DIVISION,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,ELECTORAL AREA,TOWN,PROPERTY ADDRESS,ACCOUNT NUMBER,VALUATION STATUS,NEW RATEABLE VALE , new rate impost ,2020 AREARS,2021 CURRENT BILL,OUTSTANDING. BALANCE,PAYMENT,BLOCK NO,PLOT NO,PROP TYPE,PROP CAT/USECODE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036019,1,29354.9,0,0,0,0,0,36,19,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036020,1,29354.9,0,0,0,0,0,36,20,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036021,1,29354.9,0,0,0,0,0,36,21,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036022,1,29354.9,0,0,0,0,0,36,22,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036023,1,29354.9,0,0,0,0,0,36,23,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036024,1,29354.9,0,0,0,0,0,36,24,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036025,1,29354.9,0,0,0,0,0,36,25,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036026,1,8120.1,0,0,0,0,0,36,26,EDU,VP,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036027,1,64541.6,0,0,0,0,0,36,27,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036028,1,104278.5,0,0,0,0,0,36,28,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036029,1,106132.3,0,0,0,0,0,36,29,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036030,1,20818.3,0,0,0,0,0,36,30,EDU,HG,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036031,1,104803.9,0,0,0,0,0,36,31,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036032,1,301402.6,0,0,0,0,0,36,32,EDU,VP,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036033,1,45656.4,0,0,0,0,0,36,33,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036034,1,126287.3,0,0,0,0,0,36,34,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036035,1,162474.5,0,0,0,0,0,36,35,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036036,1,58536.5,0,0,0,0,0,36,36,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036037,1,360196.1,0,0,0,0,0,36,37,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036038,1,105318.9,0,0,0,0,0,36,38,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036039,1,28554.4,0,0,0,0,0,36,39,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036040,1,28554.4,0,0,0,0,0,36,40,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12036041,1,28554.4,0,0,0,0,0,36,41,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,-,AYW12036042,1,28554.4,0,0,0,0,0,36,42,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,-,AYW12036043,1,28554.4,0,0,0,0,0,36,43,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,-,AYW12036044,1,28554.4,0,0,0,0,0,36,44,EDU,FE,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,"1, PREMPEH II STREET",AYW12036045,1,32924.6,0,0,0,0,0,36,45,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,-,AYW12036046,1,33458.5,0,0,0,0,0,36,46,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,3 PREMPEH II ST,AYW12036047,1,33458.5,0,0,0,0,0,36,47,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,4 PREMPEH II ST,AYW12036048,1,33458.5,0,0,0,0,0,36,48,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,5 PREMPEH II ST,AYW12036049,1,33458.5,0,0,0,0,0,36,49,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,6 PREMPEH II ST,AYW12036050,1,33458.5,0,0,0,0,0,36,50,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,"7, PREMPEH II STREET",AYW12036051,1,33458.5,0,0,0,0,0,36,51,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,-,AYW12036052,1,1627344,0,0,0,0,0,36,52,EDU,FER,
1,10,2030000001,GIMPA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,-,AYW12036053,1,358027.4,0,0,0,0,0,36,53,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,3A &B LITTLE LEGON C,AYW12037001,1,30079.7,0,0,0,0,0,37,1,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,2A & B LITTLE LEGON,AYW12037002,1,30079.7,0,0,0,0,0,37,2,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,1A & B LITTLE LEGON.,AYW12037003,1,30079.7,0,0,0,0,0,37,3,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,4A &B LITTLE LEGON .,AYW12037004,1,28575.7,0,0,0,0,0,37,4,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,5 LITTLE LEGON CHALE,AYW12037005,1,280766.6,0,0,0,0,0,37,5,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,L.L 6 AYIDO CIRCLE,AYW12037006,1,54225.1,0,0,0,0,0,37,6,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,L.L 5 AYIDO CIRCLE,AYW12037007,1,54225.1,0,0,0,0,0,37,7,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,L.L 1 AYIDO CIRCLE,AYW12037008,1,54225.1,0,0,0,0,0,37,8,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,L.L 2 AYIDO CIRCLE,AYW12037009,1,54225.1,0,0,0,0,0,37,9,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,4 AYIDO CIRCLE,AYW12037010,1,54225.1,0,0,0,0,0,37,10,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,7 AYIDO CIRCLE,AYW12037011,1,54225.1,0,0,0,0,0,37,11,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,20 LITTLE LEGON BUNG,AYW12037012,1,30458.8,0,0,0,0,0,37,12,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,L.L. 21 BUNGALOW,AYW12037013,1,31981.7,0,0,0,0,0,37,13,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,22 LITTLE LEGON B.,AYW12037014,1,30458.8,0,0,0,0,0,37,14,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,24 LITTLE LEGON BUNG,AYW12037015,1,30458.8,0,0,0,0,0,37,15,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,26 LITTLE LEGON BUNG,AYW12037016,1,30458.8,0,0,0,0,0,37,16,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,28 LITTLE LEGON BUNG,AYW12037017,1,30458.8,0,0,0,0,0,37,17,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,30 LITTLE LEGON BUNG,AYW12037018,1,30458.8,0,0,0,0,0,37,18,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,32 LITTLE LEGON BUNG,AYW12037019,1,30458.8,0,0,0,0,0,37,19,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,34 LITTLE LEGON BUNG,AYW12037020,1,30458.8,0,0,0,0,0,37,20,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,36 LITTLE LEGON BUNG,AYW12037021,1,30458.8,0,0,0,0,0,37,21,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,3 AYIDO CIRCLE,AYW12037022,1,54225.1,0,0,0,0,0,37,22,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,"8, AYIDO CIRCLE",AYW12037023,1,54225.1,0,0,0,0,0,37,23,EDU,FER,
1,10,2030000077,ELECTRICITY COMPANY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,L.L 5C CHALETS,AYW12037024,1,6090.1, 0.098521 ,1800,600,2400,0,37,24,EDU,TRQ,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,18 L.L. BUNGALOW,AYW12038001,1,32749.1,0,0,0,0,0,38,1,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,16 L.L. BUNGALOW,AYW12038002,1,32749.1,0,0,0,0,0,38,2,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,14 LITTLE LEGON BUNG,AYW12038003,1,32749.1,0,0,0,0,0,38,3,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,6 L.L BUNGALOW,AYW12038004,1,32749.1,0,0,0,0,0,38,4,EDU,FER,
1,10,2030000082,ELECTRICITY COMPANY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,12A,AYW12038005,1,8495.1, 0.070629 ,1800,600,2400,0,38,5,EDU,TR,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,2 L.L BUNGALOW,AYW12038006,1,33150,0,0,0,0,0,38,6,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,4 L.L BUNGALOW,AYW12038007,1,32749.1,0,0,0,0,0,38,7,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,6 L.L BUNGALOW,AYW12038008,1,33421.2,0,0,0,0,0,38,8,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,8 L.L BUNGALOW,AYW12038009,1,33421.2,0,0,0,0,0,38,9,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,10 L.L. BUNGALOW,AYW12038010,1,32749.1,0,0,0,0,0,38,10,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,17 L.L BUNGALOW,AYW12039001,1,32436.1,0,0,0,0,0,39,1,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,15 L.L BUNGALOW,AYW12039002,1,32436.1,0,0,0,0,0,39,2,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,11 L.L BUNGALOW,AYW12039003,1,32436.1,0,0,0,0,0,39,3,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,13 L.L. BUNGALOW,AYW12039004,1,32436.1,0,0,0,0,0,39,4,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,37 L.L. BUNGALOW,AYW12039005,1,29144.5,0,0,0,0,0,39,5,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,35 L.L. BUNGALOW,AYW12039006,1,30678.4,0,0,0,0,0,39,6,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,"33, L.L. BUNGALOW",AYW12039007,1,30678.4,0,0,0,0,0,39,7,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,31 L.L. BUNGALOW,AYW12039008,1,30678.4,0,0,0,0,0,39,8,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,29 L.L. BUNGALOW,AYW12039009,1,30678.4,0,0,0,0,0,39,9,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,27 L.L. BUNGALOW,AYW12039010,1,30678.4,0,0,0,0,0,39,10,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,25 L.L BUNGALOW,AYW12039011,1,30678.4,0,0,0,0,0,39,11,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,23 L.L. BUNGALOW,AYW12039012,1,30678.4,0,0,0,0,0,39,12,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,19 L.L. BUNGALOW,AYW12039013,1,29758.1,0,0,0,0,0,39,13,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,1 LITTLE LEGON,AYW12040001,1,29233.6,0,0,0,0,0,40,1,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,3 LITTLE,AYW12040002,1,29233.6,0,0,0,0,0,40,2,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,5 LITTLE LEGON,AYW12040003,1,28393.7,0,0,0,0,0,40,3,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,7 LITTLE LEGON,AYW12040004,1,28393.7,0,0,0,0,0,40,4,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,9 LITTLE LEGON,AYW12040005,1,28393.7,0,0,0,0,0,40,5,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,40 LITTLE LEGON,AYW12040006,1,29233.6,0,0,0,0,0,40,6,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,44 LITTLE LEGON,AYW12040007,1,29233.6,0,0,0,0,0,40,7,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12040008,1,534947.4,0,0,0,0,0,40,8,EDU,SG,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12040009,1,645315.3,0,0,0,0,0,40,9,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12040010,1,501450.1,0,0,0,0,0,40,10,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12040011,1,491216.4,0,0,0,0,0,40,11,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,.,AYW12040012,1,28871.8,0,0,0,0,0,40,12,EDU,FE,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,23,AYW12040013,1,42583.5,0,0,0,0,0,40,13,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,39 LITTLE LEGON,AYW12041001,1,34904.6,0,0,0,0,0,41,1,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,38 LITTLE LEGON,AYW12041002,1,33248.3,0,0,0,0,0,41,2,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,37 LITTLE LEGON,AYW12041003,1,34904.6,0,0,0,0,0,41,3,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,49 LITTLE LEGON,AYW12041004,1,32812.8,0,0,0,0,0,41,4,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,50 LITTLE LEGON,AYW12041005,1,32812.8,0,0,0,0,0,41,5,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,48 LITTLE LEGON,AYW12041006,1,31769.5,0,0,0,0,0,41,6,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,41 LITTLE LEGON,AYW12041007,1,34904.6,0,0,0,0,0,41,7,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,43 LITTLE LEGON,AYW12041008,1,34904.6,0,0,0,0,0,41,8,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,39 LITTLE LEGON,AYW12042001,1,31769.5,0,0,0,0,0,42,1,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,46 LITTLE LEGON,AYW12042002,1,31769.5,0,0,0,0,0,42,2,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,47 LITTLE LEGON,AYW12042003,1,28592.6,0,0,0,0,0,42,3,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,51 LITTLE LEGON,AYW12042004,1,31769.5,0,0,0,0,0,42,4,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,53 LITTLE LEGON,AYW12042005,1,31769.5,0,0,0,0,0,42,5,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,52 LITTLE LEGON,AYW12042006,1,31769.5,0,0,0,0,0,42,6,EDU,FER,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,-,AYW12043001,1,201222.7,0,0,0,0,0,43,1,EDU,FE,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,PRINCE ALWALED,AYW12043002,1,200519.9,0,0,0,0,0,43,2,EDU,FE,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,HEALTH SUPORT CENTRE,AYW12043003,1,113635.1,0,0,0,0,0,43,3,EDU,FE,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,-,AYW12043004,1,80412.4,0,0,0,0,0,43,4,EDU,FE,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,-,AYW12043005,1,2285211,0,0,0,0,0,43,5,EDU,FE,
1,10,2030000054,UNIVERSITY OF GHANA,12,12,32,230,848,1064,1158,UNIVERSITY O,SOUTH LEGON,WACIPAC,AYW12043006,1,185384.6,0,0,0,0,0,43,6,EDU,FE,
