ID,PhoneNO,Account No,business name,new bsuiness type,Bus. cate,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,Suburb, 2021  Current Bill ,ACTUAL ARREARS, 2021 Outst bal. , DIVISION ,PAYMENTS
2733,20200003207,AYW13062019005,SEL MART,SUPERMARKETS/SHOPPING MALL,B,5,51,300,300,300,300,EAST LEGON,1213,1213,1213,13,1213
2734,20200003208,AYW13065006001,DR. SACKEY'S VETERINARY CLINIC,PRIVATE VETINARY SERVICES,B,2,18,59,59,59,59,EAST LEGON,700,700,700,13,700
2735,20200003209,AYW13071001018,EXOTIC TRENDZ,BEAUTY COMPLEX (E.G. FC BEAUTY),B,3,30,155,155,155,155,EAST LEGON,485,485,485,13,485
2736,20200003210,AYW13071001028,MAX MART SHOPPING CENTRE,SUPERMARKETS/SHOPPING MALL,A,5,51,299,299,299,299,EAST LEGON,4851,4851,4851,13,4851
2737,20200003211,AYW13071001045,MERCOD FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,EAST LEGON,700,700,700,13,700
2738,20200003212,AYW13077023001,MINSOL LIMITED,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,EAST LEGON,3787.2,3787.2,3787.2,13,3787.2
2739,20200003213,AYW13104005003,ADDY ?& KAI VILLAS,RENTING OF PROPERTIES AS BUSINESS,B,11,100,590,590,590,590,EAST LEGON,4500,4500,4500,13,4500
2740,20200003214,AYW13105003003,NURI TELECOM,TELECOM COMPANIES(OFFICES),A,6,71,388,388,388,388,EAST LEGON,909,909,909,13,909
2741,20200003215,AYW13109007001,GATEWAY SERVICE LIMITED,TRADE/CUSTOMS/INSPECT CO.,B,6,71,388,388,388,388,EAST LEGON,2205,2205,2205,13,2205
2742,20200003216,AYW13112009001,ROCKSURE LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,EAST LEGON,3787.2,3787.2,3787.2,13,3787.2
2743,20200003217,AYW13113023001,SOLAND 1 LTD,CONTRACTORS (BUILDING/CIVIL),B,7,79,453,453,453,453,EAST LEGON,1650,1650,1650,13,1650
2744,20200003218,AYW13130027005,AVERY SCOH,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,EAST LEGON,2500,2500,2500,13,2500
2745,20200003219,AYW13132006001,DELLINO FPREX BUREAU,FOREX BUREAUX / STAND ALONE ATMS,C,13,111,632,632,632,632,,700,700,700,13,700
2746,20200003220,AYW13135006003,MATANDY AUDIO EXPERTS,ELECTRONIC PART &MUSICAL INSTRUMENT,A,6,71,388,388,388,388,EAST LEGON,120,120,120,13,120
2747,20200003221,AYW13136006001,LEASEFRIC GHANA LIMITED,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,EAST LEGON,2500,2500,2500,13,2500
2748,20200003222,AYW13138001002,CHRIS-ELLE,BEAUTY COMPLEX (E.G. FC BEAUTY),B,3,30,155,155,155,155,EAST LEGON,485,485,485,13,485
2749,20200003223,AYW13146003003,ALPHA ENGINEERING LTD.,CONTRACTORS/SUPPLIERS (NOTE 3),C,7,79,442,442,442,442,SHIASHIE,1600,1600,1600,13,1600
2750,20200003224,AYW13146008001,CLIFTON PLACE ESTATE MANAGEMENT ASSO.,RENTING OF PROPERTIES AS BUSINESS,B,11,100,590,590,590,590,SHIASHIE,4500,4500,4500,13,4500
2751,20200003225,AYW13146026001,CLIFTON COURT ESTATE MANAGEMENT ASSO.,RENTING OF PROPERTIES AS BUSINESS,B,11,100,590,590,590,590,SHIASHIE,4500,4500,4500,13,4500
2752,20200003226,AYW14009003002,MTN TESANO BRANCH,MONEY TRANSFER AGENCIES,B,6,71,388,388,388,388,TESANO,1213,1213,1213,14,1213
2753,20200003227,AYW14009022001,AQUATIC SERVICES LTD.,WAREHOUSE (CUSTOMS BONDED),D,31,227,1152,1152,1152,1150,TESANO,2630,2630,2630,14,2630
2754,20200003228,AYW14010003001,AMOH GAS LTD.,LIQUIFIED PETROLEUM GAS,B,9,89,543,543,543,543,APENKWA,400,400,400,14,400
2755,20200003229,AYW14019010001,CHINA RAILWAY NO.5 GHANA LTD,CONTRACTORS (BUILDING/CIVIL),B,7,79,453,453,453,453,ABELENKPE,1650,1650,1650,14,1650
2756,20200003230,AYW14040006001,NESTLE GH. LTD.,MULTINATIONAL COMPANY,A,6,71,388,388,388,388,DZORWULU,3850,3850,3850,14,3850
2757,20200003231,AYW14064003001,T X T GHANA,TELECOM COMPANIES(OFFICES),A,6,71,388,388,388,388,ABELENKPE,909,909,909,14,909
2758,20200003232,AYW14069002001,FACOL ROADS LIMITED,CONTRACTORS/SUPPLIERS (NOTE 3),A,7,79,440,440,440,440,ABELENKPE,5700,5700,5700,14,5700
2759,20200003233,AYW14092004001,GIFTED HANDS FASHIONS,FASHION DESIGNERS (SHOPS),B,20,173,880,880,880,880,DZORWULU,120,120,120,14,120
2760,20200003234,AYW14110012006,ENTERPRISE LIFE,INSURANCE COMPANIES (LIFE INSURANCE),B,13,110,627,627,627,627,DZORWULU,2668,2668,2668,14,2668
2761,20200003235,AYW14143014001,C. W. G. GHANA LTD.,SALE OF COMPUTER/ ACCESSORIES,B,28,209,1024,1024,1024,1024,AIRPORT WEST RES. AR,910,910,910,14,910
2762,20200003236,AYW14149006001,GLOBAL MEDIA ALLIANCE,MEDIA CONSULTANTS,A,6,67,369,369,369,369,DZORWULU,331,331,331,14,331
2763,20200003237,AYW14153004002,WILEB MINING SUPPLIES LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,AIRPORT WEST,3787.2,3787.2,3787.2,14,3787.2
2764,20200003238,AYW14155001004,LAW PLUS,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,AIRPORT WEST,736.4,736.4,736.4,14,736.4
2765,20200003239,AYW14164006001,GATEWAY AFRICA INVESTMENT LTD.,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,AIRPORT WEST,2500,2500,2500,14,2500
2766,20200003240,AYW14164006003,NEWMONT (AIRPORT WEST),MINERAL AND OIL MINING/MARKETING FIRMS,A,21,179,904,904,904,904,AIRPORT WEST,15200,15200,15200,14,15200
2767,20200003241,AYW14165008002,GHANALIFE INSURANCE,INSURANCE COMPANIES (LIFE INSURANCE),A,13,110,626,626,626,626,AIRPORT WEST,8600,8600,8600,14,8600
2768,20200003242,AYW14168005001,YINSON GAZANIA,MINERAL AND OIL MINING/MARKETING FIRMS,D,21,179,907,907,907,907,AIRPORT CITY,6500,6500,6500,14,6500
2769,20200003243,AYW14170014001,AMAJA OILFIELD LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,AIRPORT WEST,3787.2,3787.2,3787.2,14,3787.2
2770,20200003244,AYW14171009001,AKYIANU & ASSOCIATES,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,AIRPORT BYPASS,736.4,736.4,736.4,14,736.4
2771,20200003245,AYW14175011001,JLD AND MB LEGAL CONSULTANCY,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,AIRPORT WEST,736.4,736.4,736.4,14,736.4
2772,20200003246,AYW14175011002,PGS GH. LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,D,21,179,907,907,907,907,AIRPORT WEST,6500,6500,6500,14,6500
2773,20200003247,AYW14176012004,TECHNOLOGY MGT. GH. LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,G,21,179,910,910,910,910,AIRPORT WEST RES. AR,3787.2,3787.2,3787.2,14,3787.2
2774,20200003248,AYW14176012007,GROW ACTION ENGINEERING AND CONSTRUCTION LTD.,CONTRACTORS (BUILDING/CIVIL),A,7,79,452,452,452,452,AIRPORT WEST,3000,3000,3000,14,3000
2775,20200003249,AYW14178014004,AFRICA UNDERGROUND MINING SERVICE GHANA,MINERAL AND OIL MINING/MARKETING FIRMS,D,21,179,907,907,907,907,AIRPORT WEST,6500,6500,6500,14,6500
2776,20200003250,AYW14185015001,GOLDFIELDS GHANA LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,D,21,179,907,907,907,907,AIRPORT WEST RES. AR,6500,6500,6500,14,6500
2777,20200003251,AYW14187009002,GOLDEN STAR RESOURCES,MINERAL AND OIL MINING/MARKETING FIRMS,D,21,179,907,907,907,907,AIRPORT WEST,6500,6500,6500,14,6500
2778,20200003252,AYW14191017001,"KULENDI, AMPONSAH, FAIBILLE",PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,AIRPORT WEST,736.4,736.4,736.4,14,736.4
2779,20200003253,AYW14195002006,AMAJA TUBULAR SERVICE LTD.,MINERAL AND OIL MINING/MARKETING FIRMS,D,21,179,907,907,907,907,AIRPORT COMMERCIAL,6500,6500,6500,14,6500
2780,20200003254,AYW14195003002,NOWAK CO. LTD.,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,AIRPORT COMMERCIAL,2500,2500,2500,14,2500
2781,20200003255,AYW14195003010,ALBECOF INTERNET CAFE,INTERNET CAF�,D,6,61,343,343,343,343,MINISTERIAL AREA,88,88,88,14,88
2782,20200003256,AYW14196005001,SHELL SUPERMARKET,SUPERMARKETS/SHOPPING MALL,B,5,51,300,300,300,300,AIRPORT COMMERCIAL,1213,1213,1213,14,1213
2783,20200003257,AYW14199006002,SANDY LANE COURT,RENTING OF PROPERTIES AS BUSINESS,B,11,100,590,590,590,590,AIRPORT WEST,4500,4500,4500,14,4500
2784,20200003258,AYW14201021001,K-NET LTD.,SALE OF COMPUTER/ ACCESSORIES,A,28,209,1023,1023,1023,1023,ROMAN RIDGE,2000,2000,2000,14,2000
2785,20200003259,AYW14202004001,KWAME AKUFFO & CO. UNLIMITED,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,AIRPORT HILL RES. AR,736.4,736.4,736.4,14,736.4
2786,20200003260,AYW14202004004,CAPITAL PLACE LTD.,RENTING OF PROPERTIES AS BUSINESS,B,11,100,590,590,590,590,ROMAN RIDGE,4500,4500,4500,14,4500
2787,20200003261,AYW14209013002,SILICON HOUSE,ENTERTAINMENT FACILITIES,A,29,212,1077,1077,1077,1077,ROMAN RIDGE,1433,1433,1433,14,1433
2788,20200003262,AYW14119001002,KEYSTONE SOLICITORS,PRIVATE LEGAL ESTABLISHMENTS/FIRMS,A,23,194,978,978,978,978,DZORWULU,736.4,736.4,-0.2,14,1473
2789,20200003263,AYW14140009002,NOVELTY SUPERMARKET,SUPERMARKETS/SHOPPING MALL,B,5,51,300,300,300,300,AIRPORT BYPASS,1213,1213,2426,14,0
2790,20200003264,AYW14104008005,DREDGING INTERNATIONAL,CONTRACTORS (BUILDING/CIVIL),A,7,79,452,452,452,452,DZORWULU,3000,3000,6000,14,0
2791,20200003265,AYW14191001001,REYSON GHANA LTD.,RENTING OF PROPERTIES AS BUSINESS,C,11,100,591,591,591,591,ROMAN RIDGE,2500,2500,5000,14,0
2792,20200003266,AYW13073004005,ASEDA WINS BAR,DRINKING BAR,B,29,212,1066,1066,1066,1066,,158,158,316,13,0
2793,20200003267,AYW13038023001,PIXXELS,DRINKING BAR,A,29,212,1066,1066,1066,1066,,158,158,316,13,0
2794,20200003268,AYW13007026002,GET IN TOUCH,DRINKING BAR,B,29,212,1066,1066,1066,1066,,158,158,316,13,0
2795,20200003269,AYW13026015003,LOMNAVA,DRINKING BAR,B,29,212,1066,1066,1066,1066,,158,158,316,13,0
2796,20200003270,AYW13093007002,DAY BREAK,DRINKING BAR,A,29,212,1063,1063,1063,1063,,126,126,252,13,0
2797,20200003271,AYW13049024002,THE OFFICE,DRINKING BAR,B,29,212,1066,1066,1066,1066,,158,158,316,13,0
2798,20200003272,AYW13009015005,FINGER OF GOD,DRINKING BAR,B,29,212,1066,1066,1066,1066,,158,158,316,13,0
2799,20200003273,AYW13056028008,EXHALE LOUNGE,DRINKING BAR,A,29,212,1065,1065,1065,1065,,663,663,1326,13,0
2800,20200003274,AYW12100004006,A1 PAVEMENT CONST. LTD.,CONCRETE PRODUCTS FACTORIES,B,12,105,423,540,605,605,SOUTH LEGON,2668,2668,5336,12,0
2801,20200003275,AYW14110016002,DISTELL GHANA LIMITED,DISTILLERIES,B,14,116,650,650,650,650,DZORWULU,700,700,1400,14,0
2802,20200003276,AYW13037113002,CHAKAN GLOBAL LIMITED,DISTRIBUTORS,B,14,116,460,588,653,653,,1200,1200,2400,13,0
2803,20200003277,AYW13050005001,MAY MART ENT.,DISTRIBUTORS,C,14,116,460,589,654,654,BAWALESHIE/MPEHUASEM,230,230,460,13,0
2804,20200003278,AYW14005032002,MARGARET BOTCHWAY,DISTRIBUTORS,C,14,116,460,589,654,654,TESANO,230,230,460,14,0
2805,20200003279,AYW14005033004,SLOMAC ENT.,DISTRIBUTORS,C,14,116,460,589,654,654,TESANO,230,230,460,14,0
2806,20200003280,AYW14015018001,BENNITHA MOTTEY STORE,DISTRIBUTORS,C,14,116,460,589,654,654,TESANO,230,230,460,14,0
2807,20200003281,AYW14214008001,BAROBSON'S ENT.,DISTRIBUTORS,C,14,116,460,589,654,654,DZORWULU,230,230,460,14,0
2808,20200003282,AYW13023033001,HEPHZPS COUTURE,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,EAST LEGON,370,370,740,13,0
2809,20200003283,AYW12082002005,MKOGH CLOTHNG,FASHION DESIGNERS (SHOPS),A,16,149,563,703,768,768,LEGON,370,370,740,12,0
2810,20200003284,AYW13032023001,NANA CLOTHS,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,EAST LEGON EXTENSION,370,370,740,13,0
2811,20200003285,AYW13060052001,MA ROSE STUDIO,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,EAST LEGON EXTENSION,370,370,740,13,0
2812,20200003286,AYW13062007001,JEM AFRIK,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,AMBASSADORIAL ENCLAV,370,370,740,13,0
2813,20200003287,AYW13152004001,ASHIE DJANIE,FASHION DESIGNERS (SHOPS),D,12,105,606,606,606,606,EAST LEGON,55,55,110,13,0
2814,20200003288,AYW13061003001,KWESI NTI,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,AMBASSADORIAL ENCLAV,370,370,740,13,0
2815,20200003289,AYW13133003005,MAGRIENE CLOTHES,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,EAST LEGON,370,370,740,13,0
2816,20200003290,AYW13069057001,CHARLOTTE,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,EAST LEGON,370,370,740,13,0
2817,20200003291,AYW13104019001,CHEZ JULIE,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,EAST LEGON,370,370,740,13,0
2818,20200003292,AYW13136002001,PISH CLOTHING,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,EAST LEGON,370,370,740,13,0
2819,20200003293,AYW13095017001,AJEPOMAA DESIGN GALLERY,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,EAST LEGON,370,370,740,13,0
2820,20200003294,AYW13100006002,AKATAASIA CLOTHING,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,EAST LEGON,370,370,740,13,0
2821,20200003295,AYW14009010003,LAUREL CONTURE FASHION ACADAMY,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,TESANO,370,370,740,14,0
2822,20200003296,AYW14114012002,GIFTY'S FASHION CENTRE,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,DZORWULU,370,370,740,14,0
2823,20200003297,AYW14126006001,NURA FASHION,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,DZORWULU,370,370,740,14,0
2824,20200003298,AYW14196002004,SPINDLES,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,AIRPORT COMMERCIAL,370,370,740,14,0
2825,20200003299,AYW14094020002,K. ASANTE FASHION,FASHION DESIGNERS (SHOPS),B,20,173,880,880,880,880,DZORWULU,120,120,240,14,0
2826,20200003300,AYW14104009001,MELANIE CRANE,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,DZORWULU,370,370,740,14,0
2827,20200003301,AYW14114011007,SMART TAILOR & FASHION,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,DZORWULU,370,370,740,14,0
2828,20200003302,AYW14019004002,DEBBIE DESIGNS,FASHION DESIGNERS (SHOPS),B,20,173,880,880,880,880,ABELENKPE,120,120,240,14,0
2829,20200003303,AYW14009013002,LAURENDA NSIAH-KUSI,FASHION DESIGNERS (SHOPS),A,20,173,879,879,879,876,TESANO,370,370,740,14,0
2830,20200003304,AYW14173016003,POKI HOUSE FOREX BUREAU,FOREX BUREAUX / STAND ALONE ATMS,A,13,111,632,632,632,632,AIRPORT WEST,700,700,1400,14,0
2831,20200003305,AYW12100009007,STANBIC BANK GH LIMITED,FOREX BUREAUX / STAND ALONE ATMS,D,13,111,632,632,632,632,LEGON CAMPUS,5260,5260,10520,12,0
2832,20200003306,AYW13051011002,BIG J FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,EAST LEGON,700,700,1400,13,0
2833,20200003307,AYW13123001008,ALL -DAY FOREX BUREAU LTD.,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,EAST LEGON,700,700,1400,13,0
2834,20200003308,AYW13084021002,ROYAL AVENUE FOREX BUREAUX,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,EAST LEGON,700,700,1400,13,0
2835,20200003309,AYW13060027002,THREE SAINTS FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,EAST LEGON,700,700,1400,13,0
2836,20200003310,AYW13026052001,EMMAJET FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,TRINITY COLLEGE,700,700,1400,13,0
2837,20200003311,AYW13062019011,WINNER FOREX BUREAUX,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,BAWALESHIE/MPEHUASEM,700,700,1400,13,0
2838,20200003312,AYW13017007001,TUDJANI FOREX BUREAU LTD.,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,BAWALESHIE/MPEHUASEM,700,700,1400,13,0
2839,20200003313,AYW13038020006,CICA FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,EAST LEGON,700,700,1400,13,0
2840,20200003314,AYW13133003004,RAM CHAMBERS FOREX BUREAU LTD.,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,EAST LEGON,700,700,1400,13,0
2841,20200003315,AYW13117003004,BIG J FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,SHIASHIE,700,700,1400,13,0
2842,20200003316,AYW14113001002,PL FOREX BUREAU LTD.,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,DZORWULU,700,700,1400,14,0
2843,20200003317,AYW14196004003,AKWAABA FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,AIRPORT COMMERCIAL,700,700,1400,14,0
2844,20200003318,AYW14092012022,ONE WORLD FOREX BUREAX,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,DZORWULU,700,700,1400,14,0
2845,20200003319,AYW14121006005,HONOURABLE FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,DZORWULU,700,700,1400,14,0
2846,20200003320,AYW14132001007,STOXX,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,DZORWULU,700,700,1400,14,0
2847,20200003321,AYW14196002005,GIOSAP FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,ROMAN RIDGE,700,700,1400,14,0
2848,20200003322,AYW14115005002,SINOBAND FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,DZORWULU,700,700,1400,14,0
2849,20200003323,AYW14121022001,HONOURABLE FOREX BUREAU,FOREX BUREAUX/STAND ALONE ATMS,A,13,111,632,632,632,632,DZORWULU,700,700,1400,14,0
2850,20200003324,AYW14132004020,INFORMED HOLDINGS LIMITED,STOCK BROKERAGE FIRMS/FUND MGT. FIRM,A,13,110,630,630,630,630,DZORWULU,2670,2670,5340,14,0
2851,20200003325,AYW14071012001,AKUABA FACTORY,FURNITURE INDUSTRY,A,5,53,307,307,307,307,ABELENKPE,1654,1654,3308,14,0
2852,20200003326,AYW14077013001,NEW FORM FURNITURE & CONSTRUCTION LTD.,FURNITURE INDUSTRY,B,5,53,308,308,308,308,ABELENKPE,551,551,1102,14,0
2853,20200003327,AYW14196002006,ENUS CO. LTD.,FURNITURE INDUSTRY,B,3,53,308,308,308,308,AIRPORT WEST,551,551,1102,14,0
2854,20200003328,AYW14103007001,DVO. GHANA,FURNITURE INDUSTRY,B,3,53,308,308,308,308,DZORWULU,551,551,1102,14,0
2855,20200003329,AYW13032010001,MULTIPLEX TYRE SERVICE CENTRE,GARAGES,B,3,24,88,89,89,89,EAST LEGON EXTENSION,315.6,315.6,631.2,13,0
2856,20200003330,AYW13050020002,A 4 MOTORS,GARAGES,B,3,24,88,89,89,89,EAST LEGON,315.6,315.6,631.2,13,0
2857,20200003331,AYW13060022004,AUTOMEDICS,GARAGES,B,3,24,88,89,89,89,EAST LEGON,315.6,315.6,631.2,13,0
2858,20200003332,AYW14022014001,CHAANOH TRADING ENT.,GARAGES,B,3,24,88,89,89,89,ACHIMOTA FOREST RESI,315.6,315.6,631.2,14,0
2859,20200003333,AYW14077015002,M. PLAZA WORKSHOP,GARAGES,B,3,24,88,89,89,89,S.C.C./PLANTPOOL,315.6,315.6,631.2,14,0
2860,20200003334,AYW14014001001,BRAIN ENGINEERING WORKS,GARAGES,D,3,24,88,91,91,91,TESANO,100,100,200,14,0
2861,20200003335,AYW13062019007,TRIBECA HOTEL,GUEST HOUSES/RESORTS,A,29,212,1048,1048,1048,1048,AMBASSADORIAL ENCLAV,368.2,368.2,736.4,13,0
2862,20200003336,AYW14199010002,ALPHA HAULAGE & GENERAL MERCHANTS LTD.,IMPORTERS WITH WHOLESALE,B,30,223,1138,1138,1138,1138,AIRPORT WEST RES. AR,2000,2000,4000,14,0
2863,20200003337,AYW13069045001,MFI  GHANA LTD.,SALE OF COMPUTER/ ACCESSORIES,A,28,209,1023,1023,1023,1023,EAST LEGON,2000,2000,4000,13,0
2864,20200003338,AYW13013029001,CONSUMER TUTUTION,SALE OF COMPUTER/ ACCESSORIES,C,28,209,1025,1025,1025,1025,BAWALESHIE/MPEHUASEM,270,270,540,13,0
